Driver,Stint,Compound,Laps,StartLap,EndLap,MedianLapTimeSeconds,MeanLapTimeSeconds,LapTimeStdSeconds,LapTimeMADSeconds,DegradationSecondsPerLap
NOR,1,MEDIUM,17,1,17,85.53,85.96194117647057,1.501540187215624,0.30700000000000216,-0.049252450980391986
NOR,2,HARD,22,18,39,85.02199999999999,86.05040909090908,4.36967608758242,0.5124999999999957,-0.20677526821004985
NOR,3,HARD,17,40,56,83.943,85.36523529411765,4.930114926771633,0.519999999999996,-0.1417892156862733
NOR,4,SOFT,14,57,70,82.97200000000001,85.03635714285714,7.498909619272791,0.35249999999999915,-0.7935318681318669
VER,1,MEDIUM,14,1,14,85.631,86.28771428571427,1.8322450049711583,0.19599999999999795,-0.0933758241758264
VER,2,HARD,27,15,41,85.446,86.18718518518519,3.4921279829071064,0.2780000000000058,-0.10011782661782512
VER,3,SOFT,29,42,70,83.925,85.38544827586205,4.638873513089503,0.21599999999999397,-0.14206059113300593
